"","environment","bloc","location","year","name","zone","maturity","height","lodging","seedwt_1000","yield_kgha"
"199","INDIAN_HEAD_2019","1","INDIAN_HEAD","2019","FP2594","1",113,50,NA,6.35,19.09315
"200","INDIAN_HEAD_2019","2","INDIAN_HEAD","2019","AAC Marvelous","1",110,54,NA,5.78,19.003725
"201","INDIAN_HEAD_2019","2","INDIAN_HEAD","2019","FP2573","1",103,60,NA,5.92,18.75516
"202","INDIAN_HEAD_2019","1","INDIAN_HEAD","2019","FP2590","1",110,54,NA,6.41,18.705885
"203","INDIAN_HEAD_2019","3","INDIAN_HEAD","2019","Topaz","1",112,56,NA,5.65,18.533605
"204","INDIAN_HEAD_2019","2","INDIAN_HEAD","2019","FP2594","1",123,54,NA,6.22,18.42958
"205","INDIAN_HEAD_2019","2","INDIAN_HEAD","2019","FP2589","1",113,52,NA,6.82,18.391255
"206","INDIAN_HEAD_2019","1","INDIAN_HEAD","2019","CDC Buryu","1",113,54,NA,5.66,18.35877
"207","INDIAN_HEAD_2019","3","INDIAN_HEAD","2019","ND Hammond","1",103,52,NA,5.33,18.20255
"208","INDIAN_HEAD_2019","2","INDIAN_HEAD","2019","AAC Prairie Sunshine","1",112,86,NA,5.29,18.12882
"209","INDIAN_HEAD_2019","2","INDIAN_HEAD","2019","CDC Bethune","1",103,58,NA,5.66,18.1259
"210","INDIAN_HEAD_2019","2","INDIAN_HEAD","2019","FP2592","1",113,54,NA,6.83,18.070785
"211","INDIAN_HEAD_2019","2","INDIAN_HEAD","2019","CDC Rowland","1",118,52,NA,6.57,17.99742
"212","INDIAN_HEAD_2019","3","INDIAN_HEAD","2019","CDC Rowland","1",123,56,NA,6.71,17.8996
"213","INDIAN_HEAD_2019","3","INDIAN_HEAD","2019","FP2592","1",123,58,NA,6.78,17.748125
"214","INDIAN_HEAD_2019","1","INDIAN_HEAD","2019","AAC Prairie Sunshine","1",113,50,NA,5.32,17.717465
"215","INDIAN_HEAD_2019","2","INDIAN_HEAD","2019","FP2595","1",118,50,NA,5.93,17.71418
"216","INDIAN_HEAD_2019","1","INDIAN_HEAD","2019","ND Hammond","1",110,56,NA,5.18,17.61417
"217","INDIAN_HEAD_2019","2","INDIAN_HEAD","2019","FP2593","1",110,50,NA,6.83,17.50978
"218","INDIAN_HEAD_2019","2","INDIAN_HEAD","2019","FP2566","1",118,46,NA,5.67,17.505765
"219","INDIAN_HEAD_2019","2","INDIAN_HEAD","2019","Topaz","1",113,48,NA,5.59,17.467075
"220","INDIAN_HEAD_2019","1","INDIAN_HEAD","2019","FP2573","1",110,56,NA,6.11,17.366335
"221","INDIAN_HEAD_2019","1","INDIAN_HEAD","2019","CDC Bethune","1",118,46,NA,5.57,17.13675
"222","INDIAN_HEAD_2019","1","INDIAN_HEAD","2019","CDC Glas","1",113,54,NA,5.26,17.10755
"223","INDIAN_HEAD_2019","3","INDIAN_HEAD","2019","CDC Dorado","1",103,48,NA,5.97,16.953885
"224","INDIAN_HEAD_2019","3","INDIAN_HEAD","2019","AAC Prairie Sunshine","1",123,54,NA,5.4,16.845115
"225","INDIAN_HEAD_2019","1","INDIAN_HEAD","2019","AAC Marvelous","1",113,56,NA,5.81,16.797665
"226","INDIAN_HEAD_2019","2","INDIAN_HEAD","2019","ND Hammond","1",103,52,NA,5.17,16.388135
"227","INDIAN_HEAD_2019","1","INDIAN_HEAD","2019","FP2566","1",113,50,NA,5.76,16.293965
"228","INDIAN_HEAD_2019","1","INDIAN_HEAD","2019","AAC Bright","1",113,44,NA,5.63,16.142855
"229","INDIAN_HEAD_2019","1","INDIAN_HEAD","2019","CDC Dorado","1",123,50,NA,5.92,15.955975
"230","INDIAN_HEAD_2019","2","INDIAN_HEAD","2019","FP2567","1",112,58,NA,6.18,15.860345
"231","INDIAN_HEAD_2019","3","INDIAN_HEAD","2019","CDC Bethune","1",118,54,NA,5.7,15.561045
"232","INDIAN_HEAD_2019","2","INDIAN_HEAD","2019","AAC Bright","1",110,54,NA,5.72,15.340585
"233","INDIAN_HEAD_2019","1","INDIAN_HEAD","2019","CDC Rowland","1",113,52,NA,6.78,14.922295
"234","INDIAN_HEAD_2019","1","INDIAN_HEAD","2019","Topaz","1",110,52,NA,5.56,14.819
"235","INDIAN_HEAD_2019","1","INDIAN_HEAD","2019","FP2589","1",123,48,NA,6.73,14.398155
"236","INDIAN_HEAD_2019","2","INDIAN_HEAD","2019","CDC Dorado","1",112,52,NA,5.87,13.91161
