"","bloc","location","year","name","zone","maturity","height","lodging","seedwt_1000","yield_kgha","environment"
"158",2,"CODETTE","2019","FP2566","3",114,71.5,NA,6.23,17.90019,"CODETTE_2019"
"159",1,"CODETTE","2019","CDC Bethune","3",111,68.5,NA,6.14,17.8119375,"CODETTE_2019"
"160",1,"CODETTE","2019","CDC Rowland","3",113,72.5,NA,6.9,17.0998905,"CODETTE_2019"
"161",3,"CODETTE","2019","ND Hammond","3",109,77.5,NA,5.61,16.9819335,"CODETTE_2019"
"162",1,"CODETTE","2019","FP2567","3",115,71.5,NA,7.02,16.2744785,"CODETTE_2019"
"163",2,"CODETTE","2019","CDC Bethune","3",111,71.5,NA,6.3,15.9289305,"CODETTE_2019"
"164",3,"CODETTE","2019","CDC Bethune","3",111,69.5,NA,6.21,15.8402475,"CODETTE_2019"
"165",3,"CODETTE","2019","FP2589","3",114,62,NA,7.24,15.713824,"CODETTE_2019"
"166",1,"CODETTE","2019","CDC Glas","3",109,77.5,NA,5.98,15.61947275,"CODETTE_2019"
"167",3,"CODETTE","2019","AAC Prairie Sunshine","3",115,73,NA,5.92,15.49692375,"CODETTE_2019"
"168",3,"CODETTE","2019","CDC Buryu","3",108,75.5,NA,6.06,15.1566135,"CODETTE_2019"
"169",3,"CODETTE","2019","CDC Glas","3",109,71.5,NA,5.81,14.97888875,"CODETTE_2019"
"170",2,"CODETTE","2019","CDC Buryu","3",108,76,NA,6.06,14.6474755,"CODETTE_2019"
"171",1,"CODETTE","2019","Topaz","3",109,74,NA,6.22,14.49063,"CODETTE_2019"
"172",2,"CODETTE","2019","CDC Glas","3",111,71,NA,5.91,13.826799,"CODETTE_2019"
"173",1,"CODETTE","2019","CDC Dorado","3",113,60.5,NA,6.28,13.808718,"CODETTE_2019"
"174",3,"CODETTE","2019","Topaz","3",109,79,NA,6.13,13.3462175,"CODETTE_2019"
"175",1,"CODETTE","2019","FP2595","3",115,63.5,NA,6.65,13.2968535,"CODETTE_2019"
"176",1,"CODETTE","2019","FP2594","3",114,74,NA,6.61,13.2216595,"CODETTE_2019"
"177",1,"CODETTE","2019","ND Hammond","3",108,70,NA,5.7,13.15608,"CODETTE_2019"
"178",1,"CODETTE","2019","CDC Buryu","3",108,77.5,NA,6.15,13.08181875,"CODETTE_2019"
"179",1,"CODETTE","2019","AAC Prairie Sunshine","3",114,77,NA,5.88,13.028652,"CODETTE_2019"
"180",1,"CODETTE","2019","FP2592","3",115,74.5,NA,6.99,10.55263125,"CODETTE_2019"
"181",3,"INDIAN_HEAD","2019","FP2593","1",112,56,NA,6.88,23.618055,"INDIAN_HEAD_2019"
"182",3,"INDIAN_HEAD","2019","FP2590","1",123,54,NA,6.66,23.18261,"INDIAN_HEAD_2019"
"183",3,"INDIAN_HEAD","2019","FP2594","1",118,56,NA,6.46,22.579265,"INDIAN_HEAD_2019"
"184",3,"INDIAN_HEAD","2019","FP2589","1",118,54,NA,6.86,22.431805,"INDIAN_HEAD_2019"
"185",3,"INDIAN_HEAD","2019","FP2595","1",112,52,NA,6.23,21.71093,"INDIAN_HEAD_2019"
"186",3,"INDIAN_HEAD","2019","FP2567","1",110,60,NA,6.31,21.5569,"INDIAN_HEAD_2019"
"187",3,"INDIAN_HEAD","2019","CDC Glas","1",110,56,NA,5.26,21.32841,"INDIAN_HEAD_2019"
"188",3,"INDIAN_HEAD","2019","FP2573","1",110,56,NA,6.06,21.24154,"INDIAN_HEAD_2019"
"189",2,"INDIAN_HEAD","2019","CDC Glas","1",110,58,NA,5.2,20.88676,"INDIAN_HEAD_2019"
"190",1,"INDIAN_HEAD","2019","FP2592","1",113,54,NA,6.87,20.827995,"INDIAN_HEAD_2019"
"191",2,"INDIAN_HEAD","2019","CDC Buryu","1",110,60,NA,5.7,20.784925,"INDIAN_HEAD_2019"
"192",1,"INDIAN_HEAD","2019","FP2595","1",112,54,NA,6.24,20.742585,"INDIAN_HEAD_2019"
"193",1,"INDIAN_HEAD","2019","FP2567","1",110,60,NA,6.57,20.69331,"INDIAN_HEAD_2019"
"194",3,"INDIAN_HEAD","2019","FP2566","1",112,56,NA,5.84,20.586365,"INDIAN_HEAD_2019"
"195",2,"INDIAN_HEAD","2019","FP2590","1",118,58,NA,6.48,20.52687,"INDIAN_HEAD_2019"
"196",3,"INDIAN_HEAD","2019","AAC Bright","1",112,52,NA,5.8,20.129385,"INDIAN_HEAD_2019"
"197",3,"INDIAN_HEAD","2019","AAC Marvelous","1",123,54,NA,5.88,19.81585,"INDIAN_HEAD_2019"
"198",1,"INDIAN_HEAD","2019","FP2591","1",123,52,NA,6.52,19.701605,"INDIAN_HEAD_2019"
"199",3,"INDIAN_HEAD","2019","CDC Buryu","1",110,54,NA,5.59,19.68956,"INDIAN_HEAD_2019"
"200",2,"INDIAN_HEAD","2019","FP2591","1",118,50,NA,6.37,19.643205,"INDIAN_HEAD_2019"
"201",3,"INDIAN_HEAD","2019","FP2591","1",123,56,NA,6.41,19.58152,"INDIAN_HEAD_2019"
"202",1,"INDIAN_HEAD","2019","FP2594","1",113,50,NA,6.35,19.09315,"INDIAN_HEAD_2019"
"203",2,"INDIAN_HEAD","2019","AAC Marvelous","1",110,54,NA,5.78,19.003725,"INDIAN_HEAD_2019"
"204",2,"INDIAN_HEAD","2019","FP2573","1",103,60,NA,5.92,18.75516,"INDIAN_HEAD_2019"
"205",1,"INDIAN_HEAD","2019","FP2590","1",110,54,NA,6.41,18.705885,"INDIAN_HEAD_2019"
"206",3,"INDIAN_HEAD","2019","Topaz","1",112,56,NA,5.65,18.533605,"INDIAN_HEAD_2019"
"207",2,"INDIAN_HEAD","2019","FP2594","1",123,54,NA,6.22,18.42958,"INDIAN_HEAD_2019"
"208",2,"INDIAN_HEAD","2019","FP2589","1",113,52,NA,6.82,18.391255,"INDIAN_HEAD_2019"
"209",1,"INDIAN_HEAD","2019","CDC Buryu","1",113,54,NA,5.66,18.35877,"INDIAN_HEAD_2019"
"210",3,"INDIAN_HEAD","2019","ND Hammond","1",103,52,NA,5.33,18.20255,"INDIAN_HEAD_2019"
"211",2,"INDIAN_HEAD","2019","AAC Prairie Sunshine","1",112,86,NA,5.29,18.12882,"INDIAN_HEAD_2019"
"212",2,"INDIAN_HEAD","2019","CDC Bethune","1",103,58,NA,5.66,18.1259,"INDIAN_HEAD_2019"
"213",2,"INDIAN_HEAD","2019","FP2592","1",113,54,NA,6.83,18.070785,"INDIAN_HEAD_2019"
"214",2,"INDIAN_HEAD","2019","CDC Rowland","1",118,52,NA,6.57,17.99742,"INDIAN_HEAD_2019"
"215",3,"INDIAN_HEAD","2019","CDC Rowland","1",123,56,NA,6.71,17.8996,"INDIAN_HEAD_2019"
"216",3,"INDIAN_HEAD","2019","FP2592","1",123,58,NA,6.78,17.748125,"INDIAN_HEAD_2019"
"217",1,"INDIAN_HEAD","2019","AAC Prairie Sunshine","1",113,50,NA,5.32,17.717465,"INDIAN_HEAD_2019"
"218",2,"INDIAN_HEAD","2019","FP2595","1",118,50,NA,5.93,17.71418,"INDIAN_HEAD_2019"
"219",1,"INDIAN_HEAD","2019","ND Hammond","1",110,56,NA,5.18,17.61417,"INDIAN_HEAD_2019"
"220",2,"INDIAN_HEAD","2019","FP2593","1",110,50,NA,6.83,17.50978,"INDIAN_HEAD_2019"
"221",2,"INDIAN_HEAD","2019","FP2566","1",118,46,NA,5.67,17.505765,"INDIAN_HEAD_2019"
"222",2,"INDIAN_HEAD","2019","Topaz","1",113,48,NA,5.59,17.467075,"INDIAN_HEAD_2019"
